order,family,species,scientific_name,other_name,hidden searchable
Anseriformes,Anatidae,Greylag Goose,Anser anser,,Graylag Goose
Anseriformes,Anatidae,Greater White-fronted Goose,Anser albifrons,
Anseriformes,Anatidae,Tundra Bean Goose,Anser serrirostris,
Anseriformes,Anatidae,Brant Goose,Branta bernicla,Brent Goose
Anseriformes,Anatidae,Barnacle Goose,Branta leucopsis,
Anseriformes,Anatidae,Canada Goose,Branta canadensis,
Anseriformes,Anatidae,Mute Swan,Cygnus olor,
Anseriformes,Anatidae,Black Swan,Cygnus atratus,
Anseriformes,Anatidae,Whooper Swan,Cygnus cygnus,
Anseriformes,Anatidae,Egyptian Goose,Alopochen aegyptiaca,
Anseriformes,Anatidae,Ruddy Shelduck,Tadorna ferruginea,
Anseriformes,Anatidae,Common Shelduck,Tadorna tadorna,
Anseriformes,Anatidae,Muscovy Duck,Cairina moschata,
Anseriformes,Anatidae,Mandarin Duck,Aix galericulata,
Anseriformes,Anatidae,Maned Duck,Chenonetta jubata,"Australian Wood Duck, Maned Goose"
Anseriformes,Anatidae,Gadwall,Mareca strepera,
Anseriformes,Anatidae,Northern Shoveler,Spatula clypeata,
Anseriformes,Anatidae,Eurasian Wigeon,Mareca penelope,
Anseriformes,Anatidae,Chiloe Wigeon,Mareca sibilatrix,
Anseriformes,Anatidae,Mallard,Anas platyrhynchos,
Anseriformes,Anatidae,Northern Pintail,Anas acuta,
Anseriformes,Anatidae,Green-winged Teal,Anas crecca,"Eurasian Teal, Common Teal"
Anseriformes,Anatidae,Marbled Duck,Marmaronetta angustirostris,
Anseriformes,Anatidae,Common Pochard,Aythya ferina,
Anseriformes,Anatidae,Tufted Duck,Aythya fuligula,
Anseriformes,Anatidae,Greater Scaup,Aythya marila,
Anseriformes,Anatidae,Common Eider,Somateria mollissima,
Anseriformes,Anatidae,Harlequin Duck,Histrionicus histrionicus,
Anseriformes,Anatidae,Common Goldeneye,Bucephala clangula,
Anseriformes,Anatidae,Common Merganser,Mergus merganser,Goosander
Anseriformes,Anatidae,Red-breasted Merganser,Mergus serrator,

Galliformes,Phasianidae,Rock Ptarmigan,Lagopus muta,
Galliformes,Phasianidae,Ring-necked Pheasant,Phasianus colchicus,
Galliformes,Phasianidae,Red-legged Partridge,Alectoris rufa,

Columbiformes,Columbidae,Rock Pigeon,Columba livia,
Columbiformes,Columbidae,Common Wood Pigeon,Columba palumbus,
Columbiformes,Columbidae,Stock Dove,Columba oenas,
Columbiformes,Columbidae,European Turtle Dove,Streptopelia turtur,
Columbiformes,Columbidae,Eurasian Collared Dove,Streptopelia decaocto,
Columbiformes,Columbidae,Spotted Dove,Spilopelia chinensis,
Columbiformes,Columbidae,Laughing Dove,Spilopelia senegalensis,
Columbiformes,Columbidae,Asian Emerald Dove,Chalcophaps indica,

Pterocliformes,Pteroclidae,Spotted Sandgrouse,Pterocles senegallus,
Pterocliformes,Pteroclidae,Black-bellied Sandgrouse,Pterocles orientalis,
Pterocliformes,Pteroclidae,Crowned Sandgrouse,Pterocles coronatus,


Cuculiformes,Cuculidae,Greater Coucal,Centropus sinensis,
Cuculiformes,Cuculidae,Asian Koel,Eudynamys scolopaceus,
Cuculiformes,Cuculidae,Plaintive Cuckoo,Cacomantis merulinus,
Cuculiformes,Cuculidae,Common Cuckoo,Cuculus canorus,

Caprimulgiformes,Caprimulgidae,Egyptian Nightjar,Caprimulgus aegyptius,


Apodiformes,Apodidae,Common Swift,Apus apus,
Apodiformes,Apodidae,Pallid Swift,Apus pallidus,
Apodiformes,Apodidae,Little Swift,Apus affinis,
Apodiformes,Apodidae,House Swift,Apus nipalensis,

Gruiformes,Gruidae,Common Crane,Grus grus,
Gruiformes,Rallidae,Water Rail,Rallus aquaticus,
Gruiformes,Rallidae,Eurasian Moorhen,Gallinula chloropus,
Gruiformes,Rallidae,Eurasian Coot,Fulica atra,
Gruiformes,Rallidae,White-breasted Waterhen,Amaurornis phoenicurus,


Charadriiformes,Haematopodidae,Eurasian Oystercatcher,Haematopus ostralegus,

Charadriiformes,Charadriidae,Grey Plover,Pluvialis squatarola,Black-bellied Plover,Gray Plover
Charadriiformes,Charadriidae,European Golden Plover,Pluvialis apricaria,
Charadriiformes,Charadriidae,Common Ringed Plover,Charadrius hiaticula,
Charadriiformes,Charadriidae,Little Ringed Plover,Thinornis dubius,
Charadriiformes,Charadriidae,Northern Lapwing,Vanellus vanellus,
Charadriiformes,Charadriidae,Greater Sand Plover,Anarhynchus leschenaultii,
Charadriiformes,Charadriidae,Kentish Plover,Anarhynchus alexandrinus,

Charadriiformes,Scolopacidae,Eurasian Whimbrel,Numenius phaeopus,
Charadriiformes,Scolopacidae,Eurasian Curlew,Numenius arquata,
Charadriiformes,Scolopacidae,Bar-tailed Godwit,Limosa lapponica,
Charadriiformes,Scolopacidae,Black-tailed Godwit,Limosa limosa,
Charadriiformes,Scolopacidae,Common Snipe,Gallinago gallinago,
Charadriiformes,Scolopacidae,Red-necked Phalarope,Phalaropus lobatus,
Charadriiformes,Scolopacidae,Common Sandpiper,Actitis hypoleucos,
Charadriiformes,Scolopacidae,Green Sandpiper,Tringa ochropus,
Charadriiformes,Scolopacidae,Grey-tailed Tattler,Tringa brevipes,,Gray-tailed Tattler
Charadriiformes,Scolopacidae,Wood Sandpiper,Tringa glareola,
Charadriiformes,Scolopacidae,Common Redshank,Tringa totanus,
Charadriiformes,Scolopacidae,Common Greenshank,Tringa nebularia,
Charadriiformes,Scolopacidae,Ruddy Turnstone,Arenaria interpres,
Charadriiformes,Scolopacidae,Sanderling,Calidris alba,
Charadriiformes,Scolopacidae,Dunlin,Calidris alpina,

Charadriiformes,Glareolidae,Cream-colored Courser,Cursorius cursor,,Cream-Coloured Courser

Charadriiformes,Stercorariidae,Parasitic Jaeger,Stercorarius parasiticus,Arctic Skua
Charadriiformes,Stercorariidae,Great Skua,Stercorarius skua,


Charadriiformes,Alcidae,Atlantic Puffin,Fratercula arctica,
Charadriiformes,Alcidae,Black Guillemot,Cepphus grylle,
Charadriiformes,Alcidae,Razorbill,Alca torda,
Charadriiformes,Alcidae,Common Murre,Uria aalge,Common Guillemot

Charadriiformes,Laridae,Black-legged Kittiwake,Rissa tridactyla,
Charadriiformes,Laridae,Slender-billed Gull,Chroicocephalus genei,
Charadriiformes,Laridae,Black-headed Gull,Chroicocephalus ridibundus
Charadriiformes,Laridae,Audouin's Gull,Ichthyaetus audouinii,
Charadriiformes,Laridae,Mediterranean Gull,Ichthyaetus melanocephalus,
Charadriiformes,Laridae,Common Gull,Larus canus,
Charadriiformes,Laridae,Caspian Gull,Larus cachinnans,
Charadriiformes,Laridae,European Herring Gull,Larus argentatus,
Charadriiformes,Laridae,Yellow-legged Gull,Larus michahellis,
Charadriiformes,Laridae,Great Black-backed Gull,Larus marinus,
Charadriiformes,Laridae,Glaucous Gull,Larus hyperboreus,
Charadriiformes,Laridae,Lesser Black-backed Gull,Larus fuscus,
Charadriiformes,Laridae,Bridled Tern,Onychoprion anaethetus,
Charadriiformes,Laridae,Gull-billed Tern,Gelochelidon nilotica,
Charadriiformes,Laridae,Black Tern,Chlidonias niger,
Charadriiformes,Laridae,Arctic Tern,Sterna paradisaea,
Charadriiformes,Laridae,Common Tern,Sterna hirundo,
Charadriiformes,Laridae,Black-naped Tern,Sterna sumatrana,
Charadriiformes,Laridae,Roseate Tern,Sterna dougallii,
Charadriiformes,Laridae,Sandwich Tern,Thalasseus sandvicensis,
Charadriiformes,Laridae,Great Crested Tern,Thalasseus bergii,
Charadriiformes,Recurvirostridae,Black-winged Stilt,Himantopus himantopus,
Charadriiformes,Recurvirostridae,Pied Avocet,Recurvirostra avosetta,



Phoenicopteriformes,Phoenicopteridae,Greater Flamingo,Phoenicopterus roseus,



Podicipediformes,Podicipedidae,Little Grebe,Tachybaptus ruficollis,
Podicipediformes,Podicipedidae,Red-necked Grebe,Podiceps grisegena,
Podicipediformes,Podicipedidae,Great Crested Grebe,Podiceps cristatus,
Podicipediformes,Podicipedidae,Black-necked Grebe,Podiceps nigricollis,Eared Grebe

Gaviiformes,Gaviidae,Red-throated Loon,Gavia stellata,Red-throated Diver

Procellariiformes,Procellariidae,Northern Fulmar,Fulmarus glacialis,

Ciconiiformes,Ciconiidae,White Stork,Ciconia ciconia,

Suliformes,Phalacrocoracidae,Great Cormorant,Phalacrocorax carbo,
Suliformes,Phalacrocoracidae,European Shag,Gulosus aristotelis,


Pelecaniformes,Ardeidae,Eurasian Bittern,Botaurus stellaris,
Pelecaniformes,Ardeidae,Cinnamon Bittern,Botaurus cinnamomeus,
Pelecaniformes,Ardeidae,Yellow Bittern,Botaurus sinensis,
Pelecaniformes,Ardeidae,Black-crowned Night Heron,Nycticorax nycticorax,
Pelecaniformes,Ardeidae,Pacific Reef Heron,Egretta sacra,
Pelecaniformes,Ardeidae,Little Egret,Egretta garzetta,
Pelecaniformes,Ardeidae,Little Heron,Butorides atricapilla,
Pelecaniformes,Ardeidae,Chinese Pond Heron,Ardeola bacchus,
Pelecaniformes,Ardeidae,Western Cattle Egret,Ardea ibis,
Pelecaniformes,Ardeidae,Great Egret,Ardea alba,
Pelecaniformes,Ardeidae,Medium Egret,Ardea intermedia,Intermediate Egret
Pelecaniformes,Ardeidae,Grey Heron,Ardea cinerea,,Gray Heron



Pelecaniformes,Threskiornithidae,Glossy Ibis,Plegadis falcinellus,

Accipitriformes,Accipitridae,Crested Serpent Eagle,Spilornis cheela,
Accipitriformes,Accipitridae,Booted Eagle,Hieraaetus pennatus,
Accipitriformes,Accipitridae,Eurasian Sparrowhawk,Accipiter nisus,
Accipitriformes,Accipitridae,Western Marsh Harrier,Circus aeruginosus,
Accipitriformes,Accipitridae,Red Kite,Milvus milvus,
Accipitriformes,Accipitridae,Black Kite,Milvus migrans,
Accipitriformes,Accipitridae,White-tailed Eagle,Haliaeetus albicilla,
Accipitriformes,Accipitridae,White-bellied Sea Eagle,Icthyophaga leucogaster,
Accipitriformes,Accipitridae,Common Buzzard,Buteo buteo,
Accipitriformes,Accipitridae,Long-legged Buzzard,Buteo rufinus,

Strigiformes,Tytonidae,Western Barn Owl,Tyto alba,

Strigiformes,Strigidae,Pharaoh Eagle-Owl,Bubo ascalaphus,Desert Eagle-Owl
Strigiformes,Strigidae,Little Owl,Athene noctua,
Strigiformes,Strigidae,Tawny Owl,Strix aluco,


Bucerotiformes,Upupidae,Common Hoopoe,Upupa epops,



Coraciiformes,Meropidae,Blue-cheeked Bee-eater,Merops persicus,

Coraciiformes,Alcedinidae,Common Kingfisher,Alcedo atthis,
Coraciiformes,Alcedinidae,White-throated Kingfisher,Halcyon smyrnensis,
Coraciiformes,Alcedinidae,Pied Kingfisher,Ceryle rudis,

Piciformes,Megalaimidae,Great Barbet,Psilopogon virens,
Piciformes,Megalaimidae,Chinese Barbet,Psilopogon faber,

Piciformes,Picidae,Middle Spotted Woodpecker,Dendrocoptes medius,
Piciformes,Picidae,Great Spotted Woodpecker,Dendrocopos major,
Piciformes,Picidae,Levaillant's Woodpecker,Picus vaillantii,Levaillant's Green Woodpecker
Piciformes,Picidae,Eurasian Green Woodpecker,Picus viridis,


Falconiformes,Falconidae,Eurasian Kestrel,Falco tinnunculus,Common Kestrel
Falconiformes,Falconidae,Eurasian Hobby,Falco subbuteo,
Falconiformes,Falconidae,Peregrine Falcon,Falco peregrinus,

Psittaciformes,Cacatuidae,Yellow-crested Cockatoo,Cacatua sulphurea,
Psittaciformes,Psittaculidae,Rose-ringed Parakeet,Psittacula krameri,
Psittaciformes,Psittaculidae,Monk Parakeet,Myiopsitta monachus,
Psittaciformes,Psittaculidae,Red-masked Parakeet,Psittacara erythrogenys,


